time_ms,  RPM, lambda_1, oil_temp1, air_temp1, water_temp1, lambda_2, ,oil_temp2, air_temp2, water_temp2, t_inj_1, t_inj_2, sweep,
598706.00,4000.00,nan,nan,nan,nan,1.16,49.43,0.00,57.32,5300.00,5390.69,4.00,
598846.00,4250.00,nan,nan,nan,nan,nan,nan,nan,nan,5300.00,5300.00,4.00,
598932.00,4500.00,nan,nan,nan,nan,nan,nan,nan,nan,5300.00,5300.00,4.00,
599018.00,4750.00,nan,nan,nan,nan,nan,nan,nan,nan,5300.00,5300.00,4.00,
599103.00,5000.00,nan,nan,nan,nan,nan,nan,nan,nan,4500.00,4500.00,4.00,
599189.00,5250.00,nan,nan,nan,nan,nan,nan,nan,nan,4500.00,4500.00,4.00,
599275.00,5500.00,nan,nan,nan,nan,nan,nan,nan,nan,4500.00,4500.00,4.00,
599361.00,5750.00,nan,nan,nan,nan,nan,nan,nan,nan,4501.00,4501.00,4.00,
599447.00,6000.00,nan,nan,nan,nan,nan,nan,nan,nan,4500.00,4500.00,4.00,
651223.00,0.00,1.29,47.28,0.00,60.24,nan,nan,nan,nan,7149.81,7000.00,5.00,
651308.00,250.00,nan,nan,nan,nan,nan,nan,nan,nan,7000.00,7000.00,5.00,
651393.00,500.00,1.47,48.35,0.00,71.13,nan,nan,nan,nan,7046.77,7000.00,5.00,
651478.00,750.00,1.23,47.47,0.00,58.46,nan,nan,nan,nan,7140.29,7000.00,5.00,
651562.00,1000.00,nan,nan,nan,nan,nan,nan,nan,nan,7000.00,7000.00,5.00,
651727.00,1250.00,1.05,46.90,0.00,59.31,nan,nan,nan,nan,7093.54,7000.00,5.00,
651812.00,1500.00,1.47,47.72,0.00,46.53,nan,nan,nan,nan,7233.85,7000.00,5.00,
651897.00,1750.00,1.04,47.49,0.00,58.57,0.94,46.84,0.00,55.53,6111.65,6093.54,5.00,
651983.00,2000.00,0.87,46.95,0.00,59.80,1.38,46.82,0.00,59.17,5554.39,5698.99,5.00,
652069.00,2250.00,0.89,47.08,0.00,59.32,1.15,46.94,0.00,58.82,5277.89,5393.34,5.00,
652155.00,2500.00,0.98,46.94,0.00,59.99,0.98,47.26,0.00,60.19,5300.00,5385.29,5.00,
652241.00,2750.00,1.02,46.78,0.00,59.15,0.98,47.49,0.00,59.59,5372.16,5381.46,5.00,
652327.00,3000.00,1.15,47.13,0.00,59.66,1.02,48.19,0.00,59.50,5393.54,5386.35,5.00,
652413.00,3250.00,1.15,47.07,0.00,61.17,1.06,49.30,0.00,59.61,5393.54,5386.75,5.00,
652500.00,3500.00,1.03,46.74,0.00,60.18,1.03,50.43,0.00,60.33,5393.54,5378.35,5.00,
652586.00,3750.00,1.13,46.97,0.00,60.51,1.03,51.20,0.00,61.76,5393.54,5387.42,5.00,
652671.00,4000.00,nan,nan,nan,nan,1.15,50.78,0.00,60.39,5300.00,5390.69,5.00,
652776.00,4250.00,nan,nan,nan,nan,nan,nan,nan,nan,5300.00,5300.00,5.00,
652863.00,4500.00,nan,nan,nan,nan,nan,nan,nan,nan,5300.00,5300.00,5.00,
652949.00,4750.00,nan,nan,nan,nan,nan,nan,nan,nan,5300.00,5300.00,5.00,
